pam50,LD1,LD2,LD3,LD4
Basal-like,-2.78653038080645,-0.257132785092217,2.90674258778657,0.447847199447072
Basal-like,-2.5244654632881,-0.347623449407524,1.5521157421498,0.674622770454941
Basal-like,-2.32361014114978,0.516877207928006,0.795869774920716,1.8999112028107
Basal-like,-0.472399813002876,0.512070267582538,0.191440716068204,-0.0637249219676486
Basal-like,0.418699392483012,0.946066677425506,-0.441249370399701,0.242086953149767
Basal-like,0.523024065897087,0.381762439741661,-0.828829879883448,0.279620769667272
Basal-like,0.544092656919927,0.125366919005639,-0.289776621608583,0.37590471747447
Basal-like,-0.011215444473166,0.954894369797472,-0.893350896312465,0.027507682698512
Basal-like,-3.61667204875452,-0.210877964044184,0.701278394710441,-0.931861474542668
Basal-like,-5.2755620755781,-0.620567074795558,0.639897985782976,0.661827782192961
Basal-like,-3.62951310408201,-0.97213473464033,0.985818067256667,-0.464435421273691
Basal-like,-0.290939104653355,0.328639092509403,-1.12666293470796,-0.63232556214585
Basal-like,0.0230412127074193,1.98900128159063,-0.771155656387189,-0.347750530665593
Basal-like,-4.55425964723207,2.23639455105657,0.257865510092282,1.27609839464542
Basal-like,-2.88291313605588,-1.07462945678752,-1.25235815825536,-0.455763152839377
Basal-like,-3.38701660661163,-2.16774196117244,-1.05986331391359,2.00210607360618
Basal-like,-3.85351957982157,0.506042761626084,-0.505972246836171,0.129501259441723
Basal-like,-0.0946289180829391,0.42340432193872,0.0962177043374001,-0.30227472968254
Basal-like,-3.67260914460699,-1.01905543027855,0.193722466515938,0.562842352231894
Basal-like,-3.28474078057405,-0.964335970607911,-0.0720907712506061,-1.98510786457958
Basal-like,-3.01221047782124,-1.31293174305973,0.316351499751896,-0.393149467443139
Basal-like,-4.13282623421675,0.607779821143663,0.947766268053967,-3.38743037872954
Basal-like,-7.26324613043829,0.930509409494602,0.931678368475905,0.744319062120048
Basal-like,-3.81843324998907,-0.663832242762851,-0.253752820146627,0.78048004526828
Basal-like,-2.34851719884455,0.374844683653409,-0.516984406985483,-1.39984562490451
Basal-like,-4.25915532160382,0.539983597724673,-0.0974650827003653,2.11066352149153
Basal-like,-4.90331223948837,1.4112400289175,0.23759015260713,1.47937933526056
Basal-like,-4.02262310484668,0.468530921984868,-0.580228602938116,0.753605166880844
Basal-like,-2.98194153856688,0.299507885613162,0.735338146906188,0.560950634789659
